job_title,company_name,location,start_date,ctc,experience,posted
Tele Associate | Free Listed Seller Content Enrichment,IndiaMART InterMESH Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,25,000",0-2 years,1 week ago
Junior Lawyer,DR LAW,Delhi,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago
Security Team Leader/Team Member,Taj Hotels,Chennai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Associate - Sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,50,000 - 6,50,000",0-5 years,1 week ago
Dy.manager - Sales,Ion Exchange India Limited,Hyderabad,Starts Immediately,"₹ 3,00,000 - 10,00,000",0-5 years,1 week ago
Telecaller,Globiva,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Information Support Trainee,SISL Infotech Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Sales Team Leader,GBH Auto Mechanics And Services LLP,Kolkata,Starts Immediately,"₹ 4,60,000 - 7,44,000",0-5 years,1 week ago
Curriculum Designer,Ampersand Group,Mumbai,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
Finance Trainee,McDonald's,Delhi,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Business Development Associate,BYJU'S The Learning App,Kolkata,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Inside Sales Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
HR Recruiter,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Academic Content Writer,Zucol Group Of Companies,Indore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Development Executive,Plada Infotech Services Limited,Noida,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Omni Sport Leader,Decathlon Sports India Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
Business Development Associate,Urban Company,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
Academic Counselor,Infinity Learn,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago
Business Development Associate,BYJU'S The Learning App,Bangalore,Starts Immediately,"₹ 2,10,000 - 8,50,000",0-5 years,2 weeks ago
Business Analyst,FirstCry.com,Dehradun,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago
Team Lead Finance,Apidel Technologies,Vadodara,Starts Immediately,"₹ 5,00,000 - 6,00,000",0-5 years,2 weeks ago
Junior Talent Acquisition Executive,Lodha Group,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
Business Development Associate,BYJU'S The Learning App,Noida,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000",0-2 years,2 weeks ago
Content Writer,Leverage Edu,Noida,Starts Immediately,"₹ 3,00,000 - 4,80,000",0-2 years,2 weeks ago
Business Development Counselor,Planet Spark,Gurgaon,Starts Immediately,"₹ 2,00,000 - 6,50,000",0-5 years,2 weeks ago
Business Development Associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
Omni Sport Leader,Decathlon,Pune,Starts Immediately,"₹ 2,40,000 - 2,80,000",0-2 years,2 weeks ago
Sap Executive,Gravita India Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago
Customer Success Consultant,PeopleStrong,Gurgaon,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
Telecaller,Nirvasa,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
Talent Acquisition Executive,FirstCry,Dehradun,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
Business Development Executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,2 weeks ago
Business Development Executive,Lifecell International Private Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 weeks ago
Sales Team Leader,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,2 weeks ago
Field Sales Executive,Lindstrom Services India,Faridabad,Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,2 weeks ago
Assistant Sales Manager,PropertyPistol Realty Private Limited,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
Omni Sport Leader (Sales Manager),Decathlon,Thane,Starts Immediately,"₹ 4,40,000 - 5,50,000",0-5 years,2 weeks ago
Customer Care Executive,IDP,Surat,Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,2 weeks ago
Business Development Associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,2 weeks ago
