job_title,company_name,location,start_date,ctc,experience,posted
security team leader team member,Taj Hotels,Chennai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
business development associate   sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,50,000 - 6,50,000",0-5 years,1 week ago
dy manager   sales,Ion Exchange India Limited,"Hyderabad, Bangalore, Chennai",Starts Immediately,"₹ 3,00,000 - 10,00,000",0-5 years,1 week ago
telecaller,Globiva,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
information support trainee,SISL Infotech Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
sales team leader,GBH Auto Mechanics And Services LLP,Kolkata,Starts Immediately,"₹ 4,60,000 - 7,44,000",0-5 years,1 week ago
curriculum designer,Ampersand Group,Mumbai,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
finance trainee,McDonald's,Delhi,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
business development associate,BYJU'S The Learning App,Kolkata,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
inside sales associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
hr recruiter,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
academic content writer,Zucol Group Of Companies,Indore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
business development executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
omni sport leader,Decathlon Sports India Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
business development associate,Urban Company,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
academic counselor,Infinity Learn,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
junior digital marketing executive,SysTools Software Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago
business development associate,BYJU'S The Learning App,"Bangalore, Hyderabad, Kochi, Chennai, Coimbatore, Visakhapatnam, Kozhikode",Starts Immediately,"₹ 2,10,000 - 8,50,000",0-5 years,2 weeks ago
business analyst,FirstCry.com,Dehradun,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago
team lead finance,Apidel Technologies,Vadodara,Starts Immediately,"₹ 5,00,000 - 6,00,000",0-5 years,2 weeks ago
junior talent acquisition executive,Lodha Group,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
business development associate,BYJU'S The Learning App,Noida,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
sales executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,10,000",0-2 years,2 weeks ago
content writer,Leverage Edu,Noida,Starts Immediately,"₹ 3,00,000 - 4,80,000",0-2 years,2 weeks ago
business development counselor,Planet Spark,Gurgaon,Starts Immediately,"₹ 2,00,000 - 6,50,000",0-5 years,2 weeks ago
business development associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
omni sport leader,Decathlon,Pune,Starts Immediately,"₹ 2,40,000 - 2,80,000",0-2 years,2 weeks ago
sap executive,Gravita India Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago
customer success consultant,PeopleStrong,Gurgaon,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
telecaller,Nirvasa,"Gurgaon, Delhi",Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
talent acquisition executive,FirstCry,Dehradun,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
business development executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,2 weeks ago
business development executive,Lifecell International Private Limited,"Delhi, Kota, Ghaziabad, Noida, Jaipur, Baroda, Pune, Rajkot, Mumbai",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 weeks ago
sales team leader,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2 years,2 weeks ago
field sales executive,Lindstrom Services India,"Faridabad, Delhi",Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,2 weeks ago
assistant sales manager,PropertyPistol Realty Private Limited,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
omni sport leader  sales manager ,Decathlon,"Thane, Mumbai",Starts Immediately,"₹ 4,40,000 - 5,50,000",0-5 years,2 weeks ago
customer care executive,IDP,Surat,Starts Immediately,"₹ 3,00,000 - 3,40,000",0-2 years,2 weeks ago
business development associate,Leverage Edu,Noida,Starts Immediately,"₹ 6,60,000 - 7,00,000",0-5 years,2 weeks ago
content marketer,KocharTech,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,2 weeks ago
senior executive,Mahindra Home Finance,"Thoothukudi, Kangeyam, Annur, Madurai, Pollachi, Palani, Tiruchendur, Tiruppur",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago
performance marketing,Worldwide Media (Times Group),Work from home,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
branch credit officer,Mahindra Home Finance,"Paramakudi, Nagercoil, Attur, Marthandam, Kaikatti",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,2 weeks ago
sports manager,Decathlon Sport India Private Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago
sales executive,Cultfit Healthcare Private Limited,Mumbai,Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,2 weeks ago
store staff,Pepperfry,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,2 weeks ago
corporate sales executive,Pepperfry,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,2 weeks ago
business development trainee,Planet Spark,Gurgaon,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,2 weeks ago
business development associate,BYJU'S The Learning App,"Haridwar, Noida, Jaipur, Surat, Ludhiana, Bhavnagar, Delhi, Amritsar, Ghaziabad, Gurgaon, Ahmedabad, Karnal",Starts Immediately,"₹ 4,50,000 - 8,50,000",0-5 years,3 weeks ago
omni sport leader,Decathlon Sport India Private Limited,Gurgaon,Starts Immediately,"₹ 3,36,000 - 3,60,000",0-2 years,3 weeks ago
cloud engineer trainee,Redington India Limited,"Chennai, Mumbai, Bangalore, Delhi",Starts Immediately,"₹ 4,50,000 - 5,00,000",0-5 years,3 weeks ago
music tracker,Saregama India Limited,Chennai,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago
business development executive,Plada Infotech Services Limited,"Bangalore, Hyderabad, Kolkata, Mumbai, Chennai, Delhi, Chandigarh, Gurgaon, Jaipur",Starts Immediately,"₹ 2,20,000 - 4,20,000",0-2 years,3 weeks ago
hr analyst,Mazars LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,3 weeks ago
business development associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
us olympics junior writer,Sportskeeda,Work from home,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago
non it recruiter,Spinny - Valuedrive Technologies Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago
corporate sales executive,NoBroker Technologies Solutions Private Limited,"Hubli, Bangalore, Davangere",Starts Immediately,"₹ 2,20,000 - 3,00,000",0-2 years,3 weeks ago
business development associate,Planet Spark,Gurgaon,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5 years,3 weeks ago
assistant manager sales,Planet Spark,Gurgaon,Starts Immediately,"₹ 9,00,000 - 10,00,000",0-5 years,3 weeks ago
audit associate,Writer Safeguard Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago
apprentice   hr,Zydus Lifescience,Ahmedabad,Starts Immediately,"₹ 2,40,000",0-2 years,3 weeks ago
corporate sales executive,NIIT Foundation,Delhi,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,3 weeks ago
business development executive,BYJU'S The Learning App,"Mumbai, Chandigarh, Delhi",Starts Immediately,"₹ 2,00,000 - 2,70,000",0-2 years,3 weeks ago
recruiter,ASMACS Skill Development Limited,Mira Bhayandar,Starts Immediately,"₹ 2,00,000",0-2 years,3 weeks ago
field sales associate,PolicyBazaar.com,"Gurgaon, Delhi",Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,3 weeks ago
content marketing executive,Bridging GAPS,"Mohali, Panchkula, Chandigarh",Starts Immediately,"₹ 4,00,000 - 4,50,000",0-2 years,3 weeks ago
business development manager,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
trainee   scm,Raj Petro Specialities Private Limited,"Manali, Chennai, Silvassa, Mumbai",Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,3 weeks ago
admission support officer,Aakash Educational Services Limited,"Delhi, Noida",Starts Immediately,"₹ 3,00,000 - 4,50,000",0-2 years,3 weeks ago
business development  sales  executive,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
customer support associate,PolicyBazaar.com,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,3 weeks ago
business development associate,Bhanzu (Formerly Exploring Infinities),Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
uk healthcare recruiter,IMS Group,Ahmedabad,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,3 weeks ago
creative designer,Hello Parent,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
business development executive,BYJU'S The Learning App,"Gujarat, Delhi, Noida, Rajasthan",Starts Immediately,"₹ 2,10,000 - 2,70,000",0-2 years,3 weeks ago
business development executive,GBH Auto Mechanics & Services LLP,Kolkata,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago
business development associate,GBH Auto Mechanics And Services LLP,Work from home,Starts Immediately,"₹ 5,00,000 - 12,00,000",0-5 years,3 weeks ago
business development executive,GBH Auto Mechanics & Services LLP,Work from home,Starts Immediately,"₹ 4,80,000 - 6,00,000",0-5 years,3 weeks ago
business development manager,Decathlon Sport India Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,36,000",0-2 years,3 weeks ago
billing   collections analyst  accountant ,Enfusion,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 weeks ago
business development specialist,Planet Spark,Gurgaon,Starts Immediately,"₹ 3,00,000 - 7,00,000",0-5 years,3 weeks ago
animator,Saregama India Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,3 weeks ago
facebook marketing executive,Saregama India Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago
team leader,Bajaj Allianz Life Insurance,Kolkata,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago
business development executive,NoBroker Technologies Solutions Private Limited,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,80,000",0-2 years,3 weeks ago
sme  physics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago
sme  statistics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago
sme  mathematics,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago
sme  chemistry,Straive,Work from home,Starts Immediately,"₹ 3,00,000",0-2 years,3 weeks ago
senior social media marketing manager,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",1-3 years,"Just now


Be an early applicant"
graphic designer,Marcamor Consulting,Hyderabad,Starts Immediately,"₹ 3,50,000 - 5,00,000",1-3 years,"Just now


Be an early applicant"
academic counselor   inside sales,DataTrained Education Private Limited,"Noida, Greater Noida, Faridabad, Delhi, Ghaziabad",Starts Immediately,"₹ 2,50,000 - 5,00,000",0-2 years,"Just now


Be an early applicant"
sales executive,Gainers Realtors LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,20,000",0-5 years,"Just now


Be an early applicant"
stem trainer,Robokidz Eduventures Private Limited,"Pune, Jodhpur, Jaipur, Udaipur, Shillong",Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,"Just now


Be an early applicant"
business development  sales  associate,Bosscoder Academy,Work from home,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-2 years,"Just now


Be an early applicant"
mobile application developer   react native,Guruji Astro,Jaipur,Starts Immediately,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
senior front end developer,Guruji Astro,Jaipur,Starts Immediately,"₹ 5,00,000 - 8,00,000",3-5 years,"Few hours ago


Be an early applicant"
customer care executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5 years,Few hours ago
digital marketing associate   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-4 years,Few hours ago
performance marketing associate,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",2-4 years,"Few hours ago


Be an early applicant"
junior search engine optimization  seo  executive,Comit Solution,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2 years,"Few hours ago


Be an early applicant"
product marketing associate,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
paid media executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 6,00,000",1-4 years,"Few hours ago


Be an early applicant"
content strategist   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-4 years,"Few hours ago


Be an early applicant"
associate graphic designer,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-3 years,Few hours ago
junior search engine optimization  seo  executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-3 years,Few hours ago
remote marketing consultant,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 6,00,000",2-5 years,"Few hours ago


Be an early applicant"
marketing coordinator   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-3 years,"Few hours ago


Be an early applicant"
content marketing specialist,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 5,00,000",1-5 years,"Few hours ago


Be an early applicant"
video editor   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-3 years,"Few hours ago


Be an early applicant"
video marketing executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",2-5 years,"Few hours ago


Be an early applicant"
business development associate,Nixio Tech,Work from home,Starts Immediately,"₹ 4,50,000 - 6,50,000",0-4 years,Few hours ago
e commerce marketing specialist   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,"Few hours ago


Be an early applicant"
copywriter   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,Few hours ago
digital marketing executive,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,Few hours ago
telesales executive,NetPaisa,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
instagram marketing specialist   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 4,50,000",0 years,Few hours ago
social media executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-4 years,"Few hours ago


Be an early applicant"
social media marketing associate   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
marketing executive   remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,"Few hours ago


Be an early applicant"
